prok_taxa,occupancy,standard_aELW,conditional_aELW,n_present,weight_sum
Asgard,0.6381,0.4389,0.6879,10545,7253.637
Cyanobacteriota,0.2304,0.1053,0.4571,3808,1740.5168
Actinomycetota,0.1946,0.0615,0.3161,3216,1016.4642
Betaproteobacteria,0.2261,0.0606,0.2682,3736,1001.8592
Alphaproteobacteria,0.1972,0.0567,0.2875,3259,936.814
Myxococcota,0.1462,0.0384,0.263,2416,635.3015
Gammaproteobacteria,0.1536,0.0299,0.1946,2539,493.9675
FCB group,0.1103,0.0268,0.2433,1823,443.5414
Deinococcota,0.104,0.021,0.2022,1719,347.6348
Campylobacterota,0.0907,0.0185,0.2041,1499,305.8776
Deltaproteobacteria,0.0839,0.0169,0.2014,1386,279.074
Bacillota,0.1027,0.0164,0.1595,1697,270.7149
Chlamydiia,0.0418,0.0131,0.3142,691,217.0974
Euryarchaeota,0.075,0.0129,0.1713,1240,212.4609
PVC group,0.0568,0.0123,0.2172,938,203.7678
Thermodesulfobacteriota,0.0903,0.0109,0.1211,1492,180.665
Acidobacteriota,0.0631,0.0107,0.1701,1042,177.2214
Bdellovibrionota,0.0419,0.0099,0.2369,692,163.9261
Thermotogae,0.0715,0.0093,0.1295,1182,153.127
TACK group,0.0378,0.0059,0.1571,625,98.1785
Chloroflexota,0.0542,0.0058,0.1072,896,96.0196
Spirochaetota,0.0429,0.0056,0.1297,709,91.9221
Thermoplasmata,0.0335,0.0047,0.1414,554,78.3175
Mycoplasmatota,0.0217,0.0038,0.177,358,63.3708
Nitrospirota,0.0339,0.0028,0.081,561,45.4615
DPANN group,0.0077,0.0012,0.1488,128,19.0449
