group,s0,s10,s25,s67
Asgard,4.8,43.9,41.5,52.5
Cyanobacteriota,6.1,10.5,11.2,8.2
Actinomycetota,18.9,6.2,6.4,4.7
Betaproteobacteria,4.4,6.1,5.2,3.1
Alphaproteobacteria,11.1,5.7,6.8,3.7
Myxococcota,1.8,3.8,3.9,5.6
Gammaproteobacteria,13.1,3.0,3.1,1.5
FCB group,9.9,2.7,3.3,3.6
Deinococcota,0.5,2.1,1.8,2.8
Campylobacterota,1.1,1.9,1.9,1.8
Deltaproteobacteria,0.3,1.7,1.7,0.4
Bacillota,10.9,1.6,1.8,1.1
Chlamydiia,0.5,1.3,1.4,1.6
Euryarchaeota,2.9,1.3,1.4,1.3
PVC group,4.9,1.2,1.6,0.8
Thermodesulfobacteriota,1.4,1.1,1.3,1.1
Acidobacteriota,0.7,1.1,1.1,1.2
Bdellovibrionota,0.1,1.0,0.6,0.6
Thermotogae,0.4,0.9,1.0,1.2
TACK group,1.2,0.6,0.7,0.7
Chloroflexota,1.0,0.6,0.6,0.8
Spirochaetota,1.3,0.6,0.5,0.3
Thermoplasmata,0.5,0.5,0.5,0.4
Mycoplasmatota,1.9,0.4,0.5,0.3
Nitrospirota,0.3,0.3,0.3,0.5
DPANN group,0.0,0.1,0.1,0.1
All bacteria,90.6,53.6,55.9,45.0
Other archaea,4.6,2.5,2.7,2.5
