map_id,pathway_name,n_EPOCs,n_alpha_winner,pct_alpha,enrichment_vs_background
map04932,Non-alcoholic fatty liver disease,15,6,40.0,3.51
map02040,Flagellar assembly,20,7,35.0,3.07
map00780,Biotin metabolism,12,4,33.3,2.92
map04714,Thermogenesis,41,13,31.7,2.78
map00791,Atrazine degradation,13,4,30.8,2.7
map04214,Apoptosis - fly,10,3,30.0,2.63
map00640,Propanoate metabolism,37,11,29.7,2.61
map04112,Cell cycle - Caulobacter,24,7,29.2,2.56
map00540,Lipopolysaccharide biosynthesis,11,3,27.3,2.39
map01501,beta-Lactam resistance,15,4,26.7,2.34
map00190,Oxidative phosphorylation,70,18,25.7,2.25
map03440,Homologous recombination,28,7,25.0,2.19
map03010,Ribosome,72,18,25.0,2.19
map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",12,3,25.0,2.19
map05415,Diabetic cardiomyopathy,24,6,25.0,2.19
map00720,Carbon fixation pathways in prokaryotes,54,13,24.1,2.11
map00340,Histidine metabolism,50,12,24.0,2.1
map00670,One carbon pool by folate,25,6,24.0,2.1
map04723,Retrograde endocannabinoid signaling,17,4,23.5,2.06
map05020,Prion disease,26,6,23.1,2.02
map05166,Human T-cell leukemia virus 1 infection,13,3,23.1,2.02
map01503,Cationic antimicrobial peptide (CAMP) resistance,13,3,23.1,2.02
map04080,Neuroactive ligand-receptor interaction,13,3,23.1,2.02
map00280,"Valine, leucine and isoleucine degradation",32,7,21.9,1.92
map05022,Pathways of neurodegeneration - multiple diseases,32,7,21.9,1.92
map00470,D-Amino acid metabolism,14,3,21.4,1.88
map05010,Alzheimer disease,28,6,21.4,1.88
map00290,"Valine, leucine and isoleucine biosynthesis",14,3,21.4,1.88
map00910,Nitrogen metabolism,28,6,21.4,1.88
map05014,Amyotrophic lateral sclerosis,33,7,21.2,1.86
map03430,Mismatch repair,24,5,20.8,1.83
map00680,Methane metabolism,44,9,20.5,1.79
map01210,2-Oxocarboxylic acid metabolism,44,9,20.5,1.79
map04361,Axon regeneration,10,2,20.0,1.75
map00250,"Alanine, aspartate and glutamate metabolism",30,6,20.0,1.75
map00906,Carotenoid biosynthesis,10,2,20.0,1.75
map05016,Huntington disease,31,6,19.4,1.7
map05111,Biofilm formation - Vibrio cholerae,31,6,19.4,1.7
map00513,Various types of N-glycan biosynthesis,26,5,19.2,1.69
map00785,Lipoic acid metabolism,21,4,19.0,1.67
map04979,Cholesterol metabolism,16,3,18.8,1.64
map04071,Sphingolipid signaling pathway,16,3,18.8,1.64
map00362,Benzoate degradation,27,5,18.5,1.62
map03420,Nucleotide excision repair,22,4,18.2,1.59
map00603,Glycosphingolipid biosynthesis - globo and isoglobo series,11,2,18.2,1.59
map00970,Aminoacyl-tRNA biosynthesis,44,8,18.2,1.59
map00380,Tryptophan metabolism,33,6,18.2,1.59
map00300,Lysine biosynthesis,17,3,17.6,1.55
map01040,Biosynthesis of unsaturated fatty acids,23,4,17.4,1.52
map05208,Chemical carcinogenesis - reactive oxygen species,64,11,17.2,1.51
map03410,Base excision repair,35,6,17.1,1.5
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,35,6,17.1,1.5
map00260,"Glycine, serine and threonine metabolism",47,8,17.0,1.49
map00623,Toluene degradation,12,2,16.7,1.46
map00521,Streptomycin biosynthesis,12,2,16.7,1.46
map05012,Parkinson disease,36,6,16.7,1.46
map00525,Acarbose and validamycin biosynthesis,12,2,16.7,1.46
map03070,Bacterial secretion system,18,3,16.7,1.46
map00650,Butanoate metabolism,36,6,16.7,1.46
map00920,Sulfur metabolism,48,8,16.7,1.46
map00350,Tyrosine metabolism,42,7,16.7,1.46
map00770,Pantothenate and CoA biosynthesis,26,4,15.4,1.35
map01200,Carbon metabolism,162,25,15.4,1.35
map02020,Two-component system,137,21,15.3,1.34
map00630,Glyoxylate and dicarboxylate metabolism,59,9,15.3,1.34
map00270,Cysteine and methionine metabolism,73,11,15.1,1.32
map01120,Microbial metabolism in diverse environments,508,73,14.4,1.26
map00230,Purine metabolism,161,23,14.3,1.25
map00440,Phosphonate and phosphinate metabolism,14,2,14.3,1.25
map00790,Folate biosynthesis,35,5,14.3,1.25
map05134,Legionellosis,14,2,14.3,1.25
map00053,Ascorbate and aldarate metabolism,28,4,14.3,1.25
map00541,O-Antigen nucleotide sugar biosynthesis,36,5,13.9,1.22
