tree,n_asg,n_bact,n_arch,n_euk,asg_mono,n_sub,allasg_sister,has_bact
EP01083P118644,5,61,4,23,False,1,NA,True
EP00359P010065,12,18,0,30,False,1,NA,True
EP00905P007396,6,34,0,30,False,1,NA,True
EP00900P021803,14,33,0,30,False,1,NA,True
EP01156P014116,34,1,0,14,False,1,NA,True
EP00295P011242,5,0,0,30,True,1,NA,False
EP00579P025493,8,0,0,16,True,1,NA,False
EP00308P025474,11,0,0,17,True,1,NA,False
EP00775P005015,5,0,0,10,True,1,NA,False
EP00744P003000,36,0,0,28,False,1,NA,False
EP00315P053905,3,5,0,18,True,1,NA,True
EP01030P003111,15,0,0,18,True,1,NA,False
EP00897P003051,53,0,0,14,False,1,NA,False
EP00240P005514,11,59,0,30,False,1,NA,True
EP00905P005522,10,0,0,21,True,1,NA,False
EP01008P001270,6,0,0,30,True,1,NA,False
EP00679P007706,5,0,0,11,True,1,NA,False
EP00258P050896,7,0,0,20,True,1,NA,False
EP01036P055803,3,0,0,21,False,1,NA,False
EP00131P002038,7,31,0,11,False,1,NA,True
EP00933P064414,31,0,0,30,True,1,NA,False
EP01116P001810,2,13,11,30,False,1,NA,True
EP00835P006141,58,0,0,22,False,1,NA,False
EP00927P052094,17,9,0,30,False,1,NA,True
EP00193P019438,10,1,0,30,True,1,NA,True
EP00828P034735,5,0,0,30,True,1,NA,False
EP01118P013854,3,0,0,30,True,1,NA,False
EP01037P028753,10,0,0,14,True,1,NA,False
EP01037P021388,26,0,0,30,False,1,NA,False
EP00918P021065,5,0,0,15,True,1,NA,False
EP00170P005722,35,0,0,30,False,1,NA,False
EP00122P016393,9,0,0,30,True,1,NA,False
EP01129P006313,19,0,1,30,False,1,NA,False
EP00646P009687,8,1,0,11,False,1,NA,True
EP00306P013074,7,0,0,11,True,1,NA,False
EP00854P019151,34,0,0,30,True,1,NA,False
EP01031P041896,5,0,0,14,True,1,NA,False
EP00203P004048,3,0,0,26,True,1,NA,False
EP00249P022980,2,15,0,11,False,1,NA,True
EP00139P002808,7,0,0,20,False,1,NA,False
EP00595P003636,10,0,0,14,True,1,NA,False
EP01127P021692,9,31,0,17,False,1,NA,True
EP00747P083421,3,8,0,18,True,1,NA,True
EP01036P003586,13,0,0,30,False,1,NA,False
EP00475P018411,12,0,0,30,False,1,NA,False
EP01116P005375,17,53,0,30,False,1,NA,True
EP01031P041616,2,66,2,11,False,1,NA,True
EP00879P021773,7,1,0,14,True,1,NA,True
EP00168P006887,13,0,0,19,False,1,NA,False
EP00241P013101,13,0,0,19,True,1,NA,False
EP01084P198059,3,0,0,16,True,1,NA,False
XP_002284756.1,5,2,0,3,False,1,NA,True
EP00025P001619,3,8,0,13,True,1,NA,True
EP00931P045734,8,0,0,25,True,1,NA,False
EP00955P090173,6,0,0,15,True,1,NA,False
EP01051P010873,12,0,0,11,True,1,NA,False
EP01104P008508,36,0,0,12,False,1,NA,False
EP00549P022769,25,33,0,30,True,1,NA,True
EP00828P029228,3,0,0,30,True,1,NA,False
EP00320P020988,17,53,0,14,False,1,NA,True
EP00966P033478,5,0,0,16,True,1,NA,False
EP00411P048187,3,1,0,26,False,1,NA,True
EP00081P017345,10,54,6,10,False,1,NA,True
EP00039P018061,4,1,0,30,False,1,NA,True
EP00494P032914,5,0,0,21,True,1,NA,False
EP00698P000827,36,0,0,13,True,1,NA,False
EP00655P006008,1,7,0,14,True,1,NA,True
EP00052P020829,9,0,0,12,False,1,NA,False
EP00455P018741,10,0,0,30,False,1,NA,False
EP01041P019972,9,30,0,14,False,1,NA,True
EP00450P022635,10,29,0,28,True,1,NA,True
EP00916P009802,6,1,23,14,False,1,NA,True
EP00456P042804,36,0,0,13,False,1,NA,False
EP00768P001145,2,6,0,30,False,1,NA,True
EP01155P018709,3,0,0,17,True,1,NA,False
EP00058P004096,3,0,0,30,True,1,NA,False
EP01090P013052,20,0,0,30,False,1,NA,False
EP01034P036442,2,15,0,11,False,1,NA,True
EP01136P034416,12,0,0,24,True,1,NA,False
EP00211P013537,3,0,0,30,True,1,NA,False
EP00118P022586,16,7,1,30,False,1,NA,True
EP00914P030710,23,0,0,30,False,1,NA,False
EP01126P051432,5,0,0,29,True,1,NA,False
EP00601P013852,10,0,0,10,False,1,NA,False
EP00306P008596,5,0,0,29,True,1,NA,False
EP00797P011306,19,0,0,20,False,1,NA,False
EP01095P014609,44,0,0,30,True,1,NA,False
