tree_name	euk_clade_rep	euk_clade_size	euk_scope_len
AFC39997.1	YP_874536.1	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AFR24247.1	EP00929P060973	6	2
AGI04056.1	AFC39985.1	6	3
AGI04056.1	AFC39985.1	6	3
AGI04056.1	YP_004347756.1	10	2
AGI04056.1	YP_004347756.1	10	2
AGI04093.1	YP_003289174.1	12	3
AGI04093.1	YP_003289174.1	12	3
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP00632P001981	17	5
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26067.1	EP01059P008205	41	8
CBJ26202.1	EP00874P015872	6	4
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00088P031082	22	9
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00522P007723	27	4
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ27987.1	EP00985P029108	11	1
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	CBJ28276.1	5	3
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ28276.1	EP01133P001756	9	4
CBJ29577.1	EP00235P006414	13	9
CBJ29577.1	EP00274P003128	11	8
CBJ32131.1	EP00228P003081	38	2
CBJ32131.1	EP00228P003081	38	2
CBJ32131.1	EP00446P049126	32	3
CBJ32131.1	EP00446P049126	32	3
CBJ32131.1	EP00899P013021	66	7
CBJ32131.1	EP00899P013021	66	7
CBJ48405.1	EP00557P013333	11	2
CBJ48405.1	EP00903P005576	20	6
CBN74130.1	EP00644P006435	8	3
CBN74561.1	EP00192P020804	5	3
CBN74561.1	EP00084P012414	19	2
CBN77951.1	EP00150P002533	86	11
CBN77951.1	EP00150P002533	86	11
CBN77951.1	EP00150P002533	86	11
CBN77951.1	EP00150P002533	86	11
CBN77951.1	EP00150P002533	86	11
CBN77951.1	EP01137P026702	5	5
CBN77951.1	EP01137P026702	5	5
CBN77951.1	EP01137P026702	5	5
CBN77951.1	EP01137P026702	5	5
CBN77951.1	EP01137P026702	5	5
CEM00025.1	EP00117P039003	5	2
CEM00025.1	EP00117P039003	5	2
CEM00025.1	EP00117P039003	5	2
CEM00025.1	EP00117P039003	5	2
CEM00025.1	EP00117P039003	5	2
CEM00025.1	EP00117P039003	5	2
CEM00025.1	EP00183P006160	13	5
CEM00025.1	EP00183P006160	13	5
CEM00025.1	EP00183P006160	13	5
CEM00025.1	EP00183P006160	13	5
CEM00025.1	EP00183P006160	13	5
CEM00025.1	EP00183P006160	13	5
CEM23179.1	EP00019P004283	52	10
CEM23179.1	EP00019P004283	52	10
CEM23179.1	EP00019P004283	52	10
CEM23179.1	EP00019P004283	52	10
CEM23179.1	EP00019P004283	52	10
CEM23179.1	EP00019P004283	52	10
CEM23179.1	OAD08625.1	5	1
CEM23179.1	OAD08625.1	5	1
CEM23179.1	OAD08625.1	5	1
CEM23179.1	OAD08625.1	5	1
CEM23179.1	OAD08625.1	5	1
CEM23179.1	OAD08625.1	5	1
CEM32848.1	EP00747P059552	24	7
CEM32848.1	EP00747P059552	24	7
CEM32848.1	EP00747P059552	24	7
CEM32848.1	EP00747P059552	24	7
CEM32848.1	EP00747P059552	24	7
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
