tree_name	euk_clade_rep	prok_taxa	c-ELW
AGI04056.1	EP00582P000044	Cyanobacteriota	1.0
AGI04093.1	YP_009294766.1	Cyanobacteriota	0.33
AGI04093.1	YP_009294766.1	Cyanobacteriota	0.153
AGI04093.1	YP_009294766.1	Cyanobacteriota	0.301
AGI04093.1	YP_009294766.1	Cyanobacteriota	0.217
CBJ32131.1	EP00228P003081	Euryarchaeota	1.0
CBJ32131.1	EP00899P013021	Euryarchaeota	1.0
CEM01483.1	EP00618P031771	Actinomycetota	1.0
CEM01483.1	EP00013P002995	Actinomycetota	1.0
CEM23179.1	EP00019P004283	Bacillota	1.15e-16
CEM23179.1	EP00019P004283	Thermodesulfobacteriota	3.84e-46
CEM23179.1	EP00019P004283	Gammaproteobacteria	0.177
CEM23179.1	EP00019P004283	Bacillota	1.3000000000000001e-37
CEM23179.1	EP00019P004283	Bacillota	8.23e-91
CEM23179.1	EP00019P004283	Cyanobacteriota	1.69e-47
CEM23179.1	EP00019P004283	Gammaproteobacteria	0.823
CEM23179.1	EP00019P004283	Campylobacterota	2.78e-36
CEM23179.1	EP00019P004283	Euryarchaeota	9.04e-33
CEM23179.1	EP00019P004283	Bacillota	7.38e-65
CEM23179.1	EP00019P004283	Actinomycetota	9.95e-57
CEM23179.1	EP00019P004283	Euryarchaeota	3.8500000000000006e-37
CEM23179.1	OAD08625.1	Bacillota	3.33e-12
CEM23179.1	OAD08625.1	Bacillota	0.785
CEM23179.1	OAD08625.1	Thermodesulfobacteriota	5.76e-14
CEM23179.1	OAD08625.1	Betaproteobacteria	2.44e-05
CEM23179.1	OAD08625.1	Bacillota	1.27e-39
CEM23179.1	OAD08625.1	Actinomycetota	3.04e-07
CEM23179.1	OAD08625.1	Gammaproteobacteria	2.38e-41
CEM23179.1	OAD08625.1	TACK group	0.214
CEM23179.1	OAD08625.1	Alphaproteobacteria	0.000412
CEM23179.1	OAD08625.1	Thermodesulfobacteriota	1.29e-22
CEM23179.1	OAD08625.1	Acidobacteriota	6.66e-10
CEM23179.1	OAD08625.1	FCB group	1.2200000000000001e-43
CEM25736.1	EP00248P008042	Actinomycetota	0.5
CEM25736.1	EP00248P008042	Betaproteobacteria	0.5
CEM26994.1	EP01113P048207	Nitrospirota	0.196
CEM26994.1	EP01113P048207	Actinomycetota	2.01e-26
CEM26994.1	EP01113P048207	Alphaproteobacteria	1.27e-14
CEM26994.1	EP01113P048207	Actinomycetota	0.0144
CEM26994.1	EP01113P048207	FCB group	6.87e-05
CEM26994.1	EP01113P048207	Myxococcota	1.07e-06
CEM26994.1	EP01113P048207	Myxococcota	0.77
CEM26994.1	EP01113P048207	Gammaproteobacteria	1.4400000000000001e-21
CEM26994.1	EP01113P048207	Euryarchaeota	0.000683
CEM26994.1	EP01113P048207	Thermoplasmata	0.0162
CEM26994.1	EP01113P048207	Alphaproteobacteria	8.59e-14
CEM26994.1	EP01113P048207	Betaproteobacteria	0.00237
CEM35041.1	EP01138P003650	PVC group	0.000114
CEM35041.1	EP01138P003650	Cyanobacteriota	0.834
CEM35041.1	EP01138P003650	Alphaproteobacteria	1.67e-29
CEM35041.1	EP01138P003650	Alphaproteobacteria	0.0789
CEM35041.1	EP01138P003650	Actinomycetota	0.0846
CEM35041.1	EP01138P003650	PVC group	3.29e-31
CEM35041.1	EP01138P003650	Actinomycetota	0.000371
